epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,32246.6,1.28823,1.02331,1.51582,0.79257,0.65041,0.74218,0.42456,1.58349,1.09823,1.69425,0.005347,0.005347,0.005347
96,32582.6,1.28755,1.01425,1.50787,0.79204,0.65145,0.74288,0.42493,1.58403,1.09753,1.69481,0.0052975,0.0052975,0.0052975
97,32923.6,1.2879,1.01074,1.51294,0.79284,0.65182,0.74275,0.42516,1.58411,1.09776,1.69533,0.005248,0.005248,0.005248
98,33260.3,1.29044,1.00488,1.50839,0.79398,0.65293,0.74332,0.42516,1.58465,1.0974,1.69556,0.0051985,0.0051985,0.0051985
99,33597.2,1.28201,0.99861,1.49552,0.79137,0.65477,0.74348,0.42485,1.5856,1.09777,1.69612,0.005149,0.005149,0.005149
100,33936.7,1.28458,1.00193,1.50335,0.79251,0.6544,0.74274,0.42487,1.58587,1.09828,1.69637,0.0050995,0.0050995,0.0050995
101,34272.7,1.27962,0.99588,1.49921,0.78593,0.65942,0.74259,0.425,1.58663,1.09893,1.69691,0.00505,0.00505,0.00505
102,34607.7,1.27734,0.99527,1.49812,0.78714,0.65806,0.74273,0.42489,1.5865,1.0987,1.69675,0.0050005,0.0050005,0.0050005
103,34942.5,1.28582,0.99443,1.50129,0.78595,0.66152,0.74276,0.42538,1.58642,1.09871,1.69666,0.004951,0.004951,0.004951
104,35275.4,1.27664,0.98846,1.49345,0.7867,0.66246,0.74238,0.42531,1.58625,1.09845,1.69648,0.0049015,0.0049015,0.0049015
105,35611.7,1.27228,0.98528,1.49189,0.78856,0.65974,0.74243,0.42553,1.58575,1.09839,1.69617,0.004852,0.004852,0.004852
106,35945.9,1.26818,0.98021,1.48947,0.78282,0.66397,0.74251,0.4261,1.58559,1.09832,1.69617,0.0048025,0.0048025,0.0048025
107,36292.1,1.26454,0.97369,1.48426,0.7824,0.66434,0.7421,0.42626,1.58646,1.0988,1.69659,0.004753,0.004753,0.004753
108,36627.4,1.26797,0.97852,1.48619,0.78483,0.66452,0.74237,0.42674,1.58583,1.09891,1.6964,0.0047035,0.0047035,0.0047035
109,36960.8,1.26248,0.97531,1.4813,0.78979,0.66099,0.74217,0.42663,1.58525,1.09804,1.69598,0.004654,0.004654,0.004654
110,37296,1.25434,0.96364,1.47865,0.78992,0.66158,0.74242,0.42729,1.58486,1.09733,1.69525,0.0046045,0.0046045,0.0046045
111,37639.3,1.25386,0.95986,1.47817,0.79044,0.66231,0.74274,0.42762,1.58475,1.09712,1.69501,0.004555,0.004555,0.004555
112,37975.8,1.2552,0.95897,1.47144,0.78969,0.66378,0.74359,0.42821,1.58409,1.09634,1.69436,0.0045055,0.0045055,0.0045055
113,38315.5,1.25145,0.94926,1.47319,0.79456,0.66158,0.74351,0.42829,1.58421,1.09623,1.69415,0.004456,0.004456,0.004456
114,38650.6,1.24995,0.94849,1.47101,0.78505,0.66802,0.74364,0.42893,1.58429,1.09567,1.69424,0.0044065,0.0044065,0.0044065
115,38986.1,1.2438,0.94702,1.46683,0.7899,0.66349,0.74352,0.42936,1.58418,1.09553,1.69438,0.004357,0.004357,0.004357
116,39323.3,1.24509,0.94759,1.46842,0.78694,0.66562,0.7436,0.43012,1.58375,1.09552,1.69398,0.0043075,0.0043075,0.0043075
117,39657.6,1.24088,0.94088,1.46306,0.78724,0.668,0.74419,0.43036,1.58322,1.09483,1.69311,0.004258,0.004258,0.004258
118,39994.4,1.24155,0.94145,1.46521,0.78651,0.66915,0.74401,0.43044,1.58371,1.09492,1.69333,0.0042085,0.0042085,0.0042085
119,40333.1,1.23466,0.93843,1.45908,0.78605,0.66967,0.74396,0.43088,1.58371,1.09534,1.69295,0.004159,0.004159,0.004159
120,40666.7,1.23825,0.93063,1.45151,0.78716,0.67004,0.74414,0.43119,1.58451,1.09442,1.69366,0.0041095,0.0041095,0.0041095
121,41004.3,1.23624,0.93075,1.46084,0.78547,0.67042,0.74377,0.43128,1.58453,1.09454,1.69376,0.00406,0.00406,0.00406
122,41334.1,1.22365,0.91599,1.45133,0.7888,0.66805,0.74384,0.43137,1.58474,1.09406,1.69393,0.0040105,0.0040105,0.0040105
123,41665.2,1.23116,0.92455,1.45392,0.78697,0.66802,0.74397,0.43202,1.58447,1.09362,1.69394,0.003961,0.003961,0.003961
124,42000.4,1.23036,0.91907,1.45215,0.79108,0.66616,0.74425,0.43231,1.58423,1.09317,1.69319,0.0039115,0.0039115,0.0039115
125,42331.3,1.22118,0.912,1.44602,0.78852,0.66875,0.74446,0.43212,1.584,1.09336,1.69273,0.003862,0.003862,0.003862
126,42681.7,1.22232,0.908,1.44682,0.79456,0.66476,0.74465,0.43265,1.58331,1.093,1.69241,0.0038125,0.0038125,0.0038125
127,43013.5,1.22237,0.91183,1.44701,0.79069,0.66597,0.74369,0.43274,1.58325,1.09259,1.69247,0.003763,0.003763,0.003763
128,43342.6,1.2117,0.89499,1.43956,0.79009,0.66773,0.74468,0.43296,1.58347,1.09186,1.69251,0.0037135,0.0037135,0.0037135
129,43675.6,1.21284,0.89444,1.43616,0.78539,0.66967,0.74392,0.43335,1.58373,1.09204,1.69281,0.003664,0.003664,0.003664
130,44008.4,1.21152,0.89679,1.43474,0.78581,0.66912,0.74393,0.43371,1.58388,1.09241,1.69302,0.0036145,0.0036145,0.0036145
131,44340.6,1.20721,0.89125,1.44105,0.78802,0.66838,0.74411,0.43406,1.58484,1.09225,1.69375,0.003565,0.003565,0.003565
132,44674.7,1.20348,0.88504,1.43382,0.79075,0.66654,0.74435,0.43422,1.58492,1.09179,1.69394,0.0035155,0.0035155,0.0035155
133,45005,1.20111,0.89052,1.43131,0.79659,0.66518,0.74448,0.43451,1.58478,1.09208,1.69405,0.003466,0.003466,0.003466
134,45333.8,1.1972,0.87343,1.42379,0.79553,0.66581,0.74426,0.43483,1.58486,1.09234,1.69401,0.0034165,0.0034165,0.0034165
135,45663.3,1.19856,0.88026,1.42367,0.79391,0.66654,0.74416,0.43483,1.58525,1.09185,1.69402,0.003367,0.003367,0.003367
136,45988,1.19067,0.87212,1.41914,0.79487,0.66452,0.74436,0.4353,1.58516,1.09297,1.69372,0.0033175,0.0033175,0.0033175
137,46316.3,1.19073,0.87051,1.4209,0.7949,0.66542,0.74497,0.43544,1.58545,1.09379,1.6943,0.003268,0.003268,0.003268
138,46642.2,1.18506,0.86007,1.41626,0.79513,0.66567,0.74464,0.43536,1.58565,1.0945,1.69454,0.0032185,0.0032185,0.0032185
139,46968.7,1.19024,0.86925,1.41471,0.79679,0.66636,0.74568,0.43642,1.58526,1.09419,1.69417,0.003169,0.003169,0.003169
140,47312.2,1.18255,0.85835,1.41244,0.7909,0.67101,0.74624,0.43676,1.58472,1.09399,1.69403,0.0031195,0.0031195,0.0031195
141,47640.8,1.18362,0.85388,1.41657,0.79344,0.67078,0.74601,0.43684,1.58465,1.09529,1.6939,0.00307,0.00307,0.00307
142,47966.6,1.18543,0.85573,1.40971,0.79613,0.66857,0.74571,0.43716,1.58488,1.09621,1.69412,0.0030205,0.0030205,0.0030205
143,48295.1,1.17472,0.84576,1.40025,0.79953,0.66507,0.74546,0.43742,1.58481,1.09643,1.69398,0.002971,0.002971,0.002971
144,48621.7,1.17005,0.84135,1.40181,0.80421,0.66489,0.7459,0.43793,1.58424,1.09748,1.69359,0.0029215,0.0029215,0.0029215
145,48947,1.16996,0.84067,1.40056,0.80535,0.66397,0.74563,0.43886,1.5838,1.0981,1.69283,0.002872,0.002872,0.002872
146,49274.5,1.16715,0.84053,1.40008,0.80403,0.66489,0.74598,0.43905,1.58352,1.09863,1.69235,0.0028225,0.0028225,0.0028225
147,49600.2,1.16375,0.83733,1.3967,0.80444,0.66541,0.74619,0.43974,1.58357,1.09859,1.69237,0.002773,0.002773,0.002773
148,49928.1,1.16288,0.8369,1.39491,0.80449,0.66713,0.7465,0.43974,1.58307,1.09857,1.69163,0.0027235,0.0027235,0.0027235
149,50253.6,1.16033,0.83575,1.39137,0.80475,0.66783,0.7464,0.44011,1.58303,1.0987,1.69148,0.002674,0.002674,0.002674
150,50579.4,1.16048,0.83033,1.39313,0.80467,0.66765,0.74676,0.44078,1.58266,1.09911,1.69095,0.0026245,0.0026245,0.0026245
151,50907.8,1.15281,0.82894,1.38588,0.80445,0.66746,0.74692,0.44081,1.58199,1.10009,1.69022,0.002575,0.002575,0.002575
152,51235.2,1.15401,0.82222,1.38506,0.806,0.66691,0.74634,0.44107,1.58227,1.1005,1.69063,0.0025255,0.0025255,0.0025255
153,51560.8,1.14687,0.81559,1.38425,0.80695,0.66694,0.74713,0.44113,1.58257,1.10139,1.69104,0.002476,0.002476,0.002476
154,51889.3,1.14841,0.81455,1.38486,0.80748,0.66673,0.7472,0.44123,1.58239,1.10205,1.69103,0.0024265,0.0024265,0.0024265
